NAME,1972.5,1973.5,1974.5,1975.5,1976.5,1977.5,1978.5,1979.5,1980.5,1981.5,1982.5,1983.5,1984.5,1985.5,1986.5,1987.5,1988.5,1989.5,1990.5,1991.5,1992.5,1993.5,1994.5,1995.5,1996.5,1997.5,1998.5,1999.5,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5
ISUNNGUATA-RUSSELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INUPPAAT_QUUAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USULLUUP_SERMIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICE_CAPS_SW,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
NORDENSKIOLD_GLETSCHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAQQARLIUP_ALANGORLIUP,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.242982,0.194142618,0.180292644,0.174149087,0.218659259,0.21400834,0.209382449,0.204717195,0.21909614,0.177354506,0.21736295,0.25762774,0.18021732,0.207773908,0.220973662,0.205085069,0.189008408,0.184245475,0.179922825,0.175959303,0.171644915,0.167840302,0.166199688,0.164005318,0.18814728,0.199859984,0.228534047,0.25761146,0.285529363,0.265602652,0.226439299,0.216912461,0.153670078,0.272527639
JAKOBSHAVN_ISBRAE,30.025453,30.025453,30.025453,30.025453,30.025453,29.515683,29.005913,28.5216315,28.0118615,27.5020915,26.9923215,26.50804,25.99827,25.4885,26.2276665,27.170741,26.02426827,25.53940053,25.07864492,24.61692074,24.17823817,26.12917894,25.25497436,22.2643067,26.12968871,24.83456704,25.86889037,26.98701989,30.98504405,32.94702134,34.72588924,37.03272593,38.02545203,40.86270441,42.21221853,42.00249915,42.65589685,42.50023858,46.22431234,42.43733296,46.28212025,49.72811448,46.92279919,44.0237372,44.71167182,37.3732268,33.98075843
SERMEQ_AVANNARLEQ,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.264418,0.223168792,0.277110064,0.217087178,0.257278714,0.247495248,0.2379762,0.228192734,0.253048026,0.275523556,0.221803866,0.213069346,0.204599509,0.195335624,0.187395152,0.203662412,0.220083563,0.288669097,0.357116605,0.425426086,0.491611234,0.559368611,0.620243716,0.741324949,0.673386975,0.604091478,0.588231951,0.57148821,0.553437451,0.537072092,0.486359892,0.462846786,0.39864874,0.443755013
CW_NONAME1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EQIP_SERMIA,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.4203,0.3812121,0.411894,0.359896165,0.339081228,0.348009241,0.357315523,0.366535224,0.378265797,0.380404704,0.341546288,0.458188784,0.362011955,0.358393593,0.285390005,0.463950677,0.4020035,0.397092715,0.441121662,0.581389222,0.494113927,0.49147024,0.500154478,0.476847162,0.458349759,0.474834766,0.568452808,0.701843419,0.692170214,0.727978934,0.793599112,0.780513912,0.711649438,0.75873901
KANGILERNGATA_SERMIA,1.2508344,1.2508344,1.2508344,1.2508344,1.2508344,1.2314916,1.2121488,1.1917314,1.1723886,1.1530458,1.133703,1.1132856,1.0939428,1.0746,0.8639784,1.0724508,0.825443244,1.100025036,1.072241253,1.044683136,1.017345312,1.211429893,0.59688657,0.427533908,1.441326593,1.109831836,0.966759592,0.841317235,1.226101406,0.967437664,0.883588775,1.024467761,1.116467491,0.88203168,0.317739877,1.714672595,1.709023423,2.042655559,2.349564543,2.273496833,1.974010111,1.726646863,2.118459992,1.807520184,1.770442186,1.636927434,1.44501462
